title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Ben 10: Race Against Time",movie,"Action, Adventure, Family",2007,tt1037011,4.2,5572,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Selena,movie,"Biography, Drama, Music",1997,tt0120094,6.9,32308,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Batman Beyond: Return of the Joker",movie,"Action, Animation, Crime",2000,tt0233298,7.7,30393,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Teen Titans: Trouble in Tokyo",movie,"Action, Adventure, Animation",2006,tt0816671,7,6996,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Jack Bull",movie,"Drama, Western",1999,tt0171410,6.8,5395,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
"Sometimes in April",movie,"Drama, History, War",2005,tt0400063,7.8,6134,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Scooby-Doo and the Samurai Sword",movie,"Action, Animation, Comedy",2008,tt1421378,6.4,3520,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Country Teacher",movie,"Drama, Romance",2008,tt1284526,6.9,1528,"CZ, SK"
"The Infernal Cauldron",movie,"Horror, Short",1903,tt0135180,6.6,2479,"AG, BB, BS, HN, NI, TT, US"
"Where the Wild Things Are",movie,"Adventure, Drama, Family",2009,tt0386117,6.7,109458,"BE, FR, MC, PT, US"
Duplicity,movie,"Comedy, Crime, Romance",2009,tt1135487,6.1,52561,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Johnny Dangerously",movie,"Comedy, Crime",1984,tt0087507,6.5,16714,"AG, BB, BS, NI, TT"
"Golden Oldies",movie,Comedy,2008,tt0831904,5.1,460,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Václav,movie,"Comedy, Drama",2007,tt0955352,6.9,523,"CZ, SK"
"Inglourious Basterds",movie,"Adventure, Drama, War",2009,tt0361748,8.4,1626894,"AR, BA, BG, CL, CO, CZ, HR, HU, MD, ME, MK, MX, PL, RO, RS, SI, SK"
"Accumulator 1",movie,"Comedy, Fantasy, Romance",1994,tt0109071,7,1646,"CZ, SK"
"Observe and Report",movie,"Action, Comedy, Crime",2009,tt1197628,5.8,65875,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
